ID,happiness__abs_energy,happiness__kurtosis,happiness__skewness,happiness__mean,happiness__standard_deviation,happiness__variation_coefficient,happiness__median,happiness__minimum,happiness__maximum,happiness__mean_change,happiness__mean_abs_change,happiness__number_peaks__n_4,happiness__sum_values,happiness__cid_ce__normalize_True,happiness__sample_entropy,happiness__approximate_entropy__m_5__r_0.1,"happiness__fft_coefficient__attr_""abs""__coeff_1","happiness__fft_coefficient__attr_""real""__coeff_1","happiness__fft_coefficient__attr_""imag""__coeff_1",happiness__ar_coefficient__coeff_1__k_5,happiness__autocorrelation__lag_5,"happiness__linear_trend__attr_""rvalue""","happiness__linear_trend__attr_""intercept""","happiness__linear_trend__attr_""slope""",sadness__abs_energy,sadness__kurtosis,sadness__skewness,sadness__mean,sadness__standard_deviation,sadness__variation_coefficient,sadness__median,sadness__minimum,sadness__maximum,sadness__mean_change,sadness__mean_abs_change,sadness__number_peaks__n_4,sadness__sum_values,sadness__cid_ce__normalize_True,sadness__sample_entropy,sadness__approximate_entropy__m_5__r_0.1,"sadness__fft_coefficient__attr_""abs""__coeff_1","sadness__fft_coefficient__attr_""real""__coeff_1","sadness__fft_coefficient__attr_""imag""__coeff_1",sadness__ar_coefficient__coeff_1__k_5,sadness__autocorrelation__lag_5,"sadness__linear_trend__attr_""rvalue""","sadness__linear_trend__attr_""intercept""","sadness__linear_trend__attr_""slope""",fear__abs_energy,fear__kurtosis,fear__skewness,fear__mean,fear__standard_deviation,fear__variation_coefficient,fear__median,fear__minimum,fear__maximum,fear__mean_change,fear__mean_abs_change,fear__number_peaks__n_4,fear__sum_values,fear__cid_ce__normalize_True,fear__sample_entropy,fear__approximate_entropy__m_5__r_0.1,"fear__fft_coefficient__attr_""abs""__coeff_1","fear__fft_coefficient__attr_""real""__coeff_1","fear__fft_coefficient__attr_""imag""__coeff_1",fear__ar_coefficient__coeff_1__k_5,fear__autocorrelation__lag_5,"fear__linear_trend__attr_""rvalue""","fear__linear_trend__attr_""intercept""","fear__linear_trend__attr_""slope""",disgust__abs_energy,disgust__kurtosis,disgust__skewness,disgust__mean,disgust__standard_deviation,disgust__variation_coefficient,disgust__median,disgust__minimum,disgust__maximum,disgust__mean_change,disgust__mean_abs_change,disgust__number_peaks__n_4,disgust__sum_values,disgust__cid_ce__normalize_True,disgust__sample_entropy,disgust__approximate_entropy__m_5__r_0.1,"disgust__fft_coefficient__attr_""abs""__coeff_1","disgust__fft_coefficient__attr_""real""__coeff_1","disgust__fft_coefficient__attr_""imag""__coeff_1",disgust__ar_coefficient__coeff_1__k_5,disgust__autocorrelation__lag_5,"disgust__linear_trend__attr_""rvalue""","disgust__linear_trend__attr_""intercept""","disgust__linear_trend__attr_""slope""",self-esteem
3,20.04851682,733.0655889,25.59766311,0.012909235,0.14100308,10.92265225,0.000156847,1.70E-08,4.133517742,5.25E-06,0.01722385,100,12.90923454,42.63580423,0.05412125,0.16627979,4.277630347,-3.946463051,-1.650318383,0.088066375,0.008152631,-0.025503755,0.019131651,-1.25E-05,991696.8871,0.047371365,0.861829793,25.75102342,18.12682211,0.703926279,21.37836743,0.005992182,83.63690186,-0.010473882,12.49699359,99,25751.02342,29.75973575,1.556373743,0.010937857,2308.674569,-1612.884407,1651.842049,0.456764977,0.2125614,0.219262017,18.87382728,0.01376816,65167.16801,28.9090999,4.863632901,3.463352418,7.291937879,2.105456506,1.258489311,0.019395132,74.28949738,0.000333502,3.023589818,100,3463.352418,30.16275765,0.451166966,0.428534166,509.4057837,-506.5864566,-53.52022423,0.528012088,0.11783068,-0.019965513,3.71526495,-0.000504329,0.001321813,882.4914902,29.14274509,5.83E-05,0.001148221,19.69127727,9.86E-08,5.75E-13,0.035206493,5.50E-07,0.00010687,100,0.058311171,44.31115813,0.026510138,0.123796034,0.02554294,-0.014858779,0.020776392,0.018058698,-0.000891277,-0.003156615,6.46E-05,-1.26E-08,28
4,141020.3333,39.19477629,6.163334898,2.337541074,11.64286198,4.980815997,0.06212442,6.66E-07,98.48757172,9.06E-05,3.573104359,98,2337.541074,41.21520769,0.077537825,0.274983996,412.1116214,61.20585465,407.5412026,0.140895264,0.060876314,0.003068037,2.27573279,0.00012374,870114.1962,1.353225671,1.347387602,21.77829437,19.89522783,0.91353471,15.08660698,6.99E-05,94.09916687,0.011217269,11.37071936,95,21778.29437,27.71777514,0.915433834,0.08047902,1975.20568,33.85893499,1974.915454,0.598278213,0.103562154,0.165703715,16.07392691,0.011420155,174103.321,15.83444935,3.388077661,8.451972864,10.13249603,1.198832058,5.347052575,0.026510004,88.42780304,0.001183541,5.594314922,105,8451.972864,33.62064857,0.879617254,0.125431986,920.5851479,-861.2438661,325.1707516,0.305291683,0.246659305,0.043445827,7.690260777,0.001524949,2645.986538,118.6042104,10.13164397,0.294357812,1.599793742,5.434860837,0.002747391,6.12E-11,24.34204674,5.74E-05,0.394231774,92,294.3578116,38.69234147,0.077350757,0.142335754,213.3100739,82.54038383,196.6933467,0.209137555,0.07217455,0.185167846,-0.218215394,0.001026173,28
5,8.59604682,369.6770738,17.8907622,0.022514979,0.089939549,3.994654014,0.008530257,0.000158641,2.07217288,-0.000106641,0.022318989,101,22.51497856,32.57088895,0.276855244,0.515174933,7.18846216,6.991181268,1.672534813,0.518129158,0.107294511,-0.07692457,0.034486301,-2.40E-05,1080826.714,-0.347772228,0.02394441,30.66128987,11.86220963,0.386879015,31.04503155,0.839147508,69.82141876,0.003009399,9.638406602,105,30661.28987,33.75186169,1.943001761,0.00100452,2692.071875,1937.528832,-1869.019264,0.236507952,0.291118921,-0.237294323,35.5318541,-0.009750879,1367529.086,-0.197082289,0.573769095,32.05533863,18.43866459,0.575213533,29.43848896,0.248907775,98.45223236,0.029999406,15.64331428,100,32055.33863,35.58066795,1.995070374,0.000387341,1760.809002,1227.052363,-1262.850284,0.287252214,0.170247594,-0.118465255,35.83494689,-0.007566783,2045.797774,421.7830195,18.15198001,0.282812934,1.402075111,4.957606053,0.04322955,3.45E-07,35.68977356,-1.08E-05,0.336455255,97,282.8129336,37.80085955,0.197097702,0.450879122,103.8952676,-39.02526042,96.28735993,0.242909192,0.097780456,0.049521532,0.162671811,0.000240523,27
7,112544.9975,16.96406045,3.757211924,4.321653781,9.688565741,2.241865321,0.548317909,4.31E-05,81.03353882,0.000575802,4.76224798,103,4321.653781,34.73524394,0.310959187,0.364472133,1000.879895,322.0124992,-947.6647692,0.345931752,0.153086377,-0.253488062,8.571207604,-0.008507615,48323.44484,20.12064506,3.781383796,3.768475508,5.841407123,1.55007167,1.629609108,0.000617763,54.75311661,-0.00135556,3.943688096,108,3768.475508,39.67360062,0.777916503,0.230570729,416.4783452,-394.5082856,-133.4819261,0.153608735,0.132482726,-0.03591461,4.131482478,-0.000726741,28463.66952,74.83284097,7.380711743,1.545808975,5.106284768,3.303309045,0.094923508,4.38E-09,75.84461975,-0.012788151,1.96072019,102,1545.808975,36.94914184,0.202099354,0.380671652,94.72288542,-34.40071155,88.25540248,0.217935547,0.16268127,-0.072907913,2.189987185,-0.001289646,0.111654925,565.7864426,21.95516108,0.001287527,0.010487955,8.145812262,3.43E-06,1.73E-17,0.28664121,-8.26E-07,0.001900032,103,1.287527211,41.8141139,0.079701219,0.233744427,0.570253071,-0.325372332,-0.468317638,0.101525731,-0.001265729,-0.063702349,0.002443567,-2.31E-06,26
8,401829.1173,17.97368957,4.419163396,4.597146617,19.51141615,4.244244915,0.001711526,3.63E-07,99.9972229,4.54E-05,1.058398009,90,4597.146617,9.287617214,0.029202015,0.092172476,3804.589027,3370.165833,1765.468753,0.928855307,0.823064098,0.290108149,-5.197190596,0.019608283,76394.56288,8.787244839,2.533974143,4.996294166,7.171583332,1.435380523,1.915587604,4.25E-08,62.33875656,-0.006553139,4.348904461,102,4996.294166,33.93341238,0.540231872,0.215934046,1280.820675,-328.9372569,-1237.861819,0.302251312,0.218504301,-0.293494701,8.638308465,-0.00729132,19849.83353,267.6478403,13.61251674,1.001947027,4.341190583,4.332754595,0.058370002,1.52E-11,98.73446655,-2.32E-05,1.02809677,98,1001.947027,33.01543898,0.139882159,0.321014221,232.0733191,164.8318929,-163.366069,0.452658702,0.086242582,-0.109017956,1.820851458,-0.001639448,682.381538,301.7687494,16.31820535,0.074297358,0.822715893,11.07328601,7.14E-07,5.75E-20,17.58223152,-4.10E-12,0.099126768,97,74.2973578,35.83727846,0.025302795,0.113606742,38.62237852,34.22819285,-17.8918679,0.309174512,0.003015186,-0.087266296,0.198526293,-0.000248707,28
9,710.0658111,140.7804822,10.58031181,0.13648057,0.83152803,6.092647681,0.000444581,4.05E-08,15.10307312,-4.10E-06,0.184982714,99,136.4805703,37.68578804,0.081101817,0.2261428,22.53481592,-15.89143019,15.97749589,0.296532081,0.049971278,0.03027343,0.092922879,8.72E-05,1450011.939,-0.683969953,0.49748987,31.10571045,21.96466973,0.70612982,28.06094933,0.001073017,96.47989655,0.001550377,17.50819395,101,31105.71045,33.07669618,1.678963975,0.003171065,2273.004758,-399.7055131,-2237.584889,0.329832725,0.23074751,-0.154668289,36.98401781,-0.011768383,36431.13381,78.57091379,7.715247273,2.008178938,5.691954951,2.834386341,0.484491051,1.96E-05,83.79854584,-0.000217199,2.100038822,96,2008.178938,35.14052054,0.346818036,0.457541378,184.8889558,-179.916566,42.59055355,0.329627138,-0.001055052,-0.004736724,2.054830462,-9.34E-05,0.050737974,278.7311921,15.61432053,0.000694437,0.007089128,10.2084494,4.46E-07,2.41E-18,0.152092099,-2.93E-11,0.001303363,103,0.694437266,44.332822,0.045883906,0.18131918,0.430407388,-0.306963036,0.301702194,0.015648666,0.018336093,0.043061565,0.000166224,1.06E-06,32
10,35509.99621,77.16360846,8.404799171,0.931903143,5.885707498,6.315793162,0.001062722,3.18E-08,70.62271881,5.84E-05,1.402898143,89,931.9031429,38.12488075,0.053508154,0.162869143,148.758879,84.53085133,122.4080849,0.224217734,0.037514837,0.040358241,0.520888557,0.000822852,59727.695,23.38812506,3.999596088,4.470964461,6.303821999,1.409946792,2.540181995,5.39E-05,64.59940338,0.000852156,3.912883117,103,4470.964461,35.5081308,1.015100487,0.120654335,457.9385986,-81.49873121,-450.6281359,0.335778424,0.054322536,-0.097967875,5.539561487,-0.002139333,57961.93146,70.27891667,7.097293083,3.237475526,6.89062288,2.128393813,1.289595723,0.001524405,96.28939819,0.00056446,3.181735487,93,3237.475526,41.05415463,0.464861191,0.387920049,113.2930865,83.07827783,-77.02806762,0.117058967,0.03290947,-0.025241045,3.538423995,-0.000602499,22841.31909,52.15943248,6.226563489,1.422956471,4.562511805,3.20636077,0.040327024,2.08E-19,58.86331177,2.79E-05,1.719726383,103,1422.956471,35.30205259,0.23004834,0.39496315,359.0444613,324.4257467,-153.8208702,0.328905879,0.144928759,0.013467005,1.316639801,0.000212846,32
11,1152330.184,0.414619866,1.316408528,20.65284397,26.94049405,1.304444758,6.067021132,4.40E-07,97.44390106,0.057727214,10.17066107,85,20652.84397,21.21319809,0.23668269,0.235158343,2282.354014,1994.35516,1109.814101,0.598286226,0.428308386,0.042733208,18.66080703,0.003988062,359376.6629,3.519487653,1.587719119,13.80542786,12.99179835,0.941064521,10.68721676,0.001869177,96.42501068,-0.005715706,8.458511926,91,13805.42786,31.25010758,0.898516665,0.090430913,838.1105001,-830.1392085,-115.3174098,0.390804064,0.195467868,0.042694476,12.8456576,0.001921462,392931.7597,3.359656714,1.87877103,12.61999312,15.28618767,1.211267512,6.478107929,0.00065118,87.02687073,0.014346743,8.75237983,99,12619.99312,30.16548366,0.731050573,0.179587227,356.6205693,-309.9458706,176.3853389,0.503052153,0.054516016,0.023542032,11.99730661,0.00124662,10327.32933,101.3670805,8.885951199,0.737970178,3.127735498,4.238295247,0.033660431,2.54E-21,48.81693649,2.20E-05,1.04508521,94,737.9701781,38.77612008,0.175823782,0.344725458,58.30821801,-56.95221686,12.50173113,0.193985739,0.1886697,0.055543933,0.437367407,0.000601807,40
12,238729.6412,27.31998223,5.269409252,3.27703204,15.09936099,4.607633005,0.002212273,1.94E-07,99.90280914,1.48E-06,3.207097274,90,3277.03204,30.11005328,0.037893523,0.104236707,2919.207654,-1181.409217,2669.465413,0.401261275,0.283592882,0.143264605,-0.466002277,0.007493562,739849.6918,1.268803314,1.244423961,21.29974925,16.91657098,0.79421456,16.9045248,6.84E-07,84.03018188,0.018315591,10.99941234,94,21299.74925,28.98960367,1.420737191,0.010389455,2377.040693,-315.5295877,-2356.005844,0.494695554,0.267686454,-0.11148871,24.5631436,-0.006533322,35600.11027,207.9589892,12.52573648,2.450023524,5.440357984,2.220532959,1.339086056,0.008344593,99.83854675,0.000311621,1.809027839,92,2450.023524,31.43926923,0.520049328,0.38809918,231.7745659,141.0501674,-183.9138376,0.563191679,0.078628905,0.002764844,2.423996505,5.21E-05,1249.183308,853.9045117,28.2377142,0.10859553,1.112380474,10.24333576,0.000588868,2.48E-13,33.90694427,6.57E-06,0.145247552,98,108.5955298,41.89103637,0.061448843,0.18471087,77.78966048,-36.21147567,68.84736965,0.122718235,0.013647455,0.055588613,0.001600025,0.000214205,32
13,46087.46254,73.59184765,8.043056596,1.538265329,6.612201019,4.298478875,0.130253084,1.27E-05,89.39988708,0.003156523,1.856978327,88,1538.265329,35.85958248,0.111672413,0.277124276,338.7015983,337.2294189,-31.54507432,0.25906379,0.105399325,0.023235519,1.272422619,0.000532218,188811.4586,4.48614541,2.033947283,8.687561734,10.64601943,1.225432378,4.213901043,8.25E-07,68.32666016,-0.003275716,6.400365847,93,8687.561734,30.47966865,0.725656557,0.199592661,838.3019009,677.7638083,-493.3419678,0.490987763,0.074523785,-0.090223942,10.34957844,-0.003327361,44253.22746,10.2026202,2.810548378,3.707454449,5.523405559,1.489810768,1.469155252,0.000209756,40.55844498,0.001596707,3.207384431,97,3707.454449,32.26880054,0.661338271,0.253106438,252.7542243,153.7516193,200.6119076,0.486793108,0.098453969,0.105334135,2.700749049,0.002015426,98.28488793,289.8909075,16.45852421,0.032510406,0.311813985,9.591205484,8.64E-05,2.45E-12,6.159124851,9.26E-07,0.054121185,105,32.5104061,43.19099238,0.058611599,0.206794968,20.96232363,20.33197915,5.101924727,0.044667943,0.009700141,0.06113304,-0.000473183,6.60E-05,36
